Cell line	Sample	Replicate	Live count	Live fraction	Size
LLC-A9F1	L1	R1	6.63E+06	0.96	7.7
LLC-A9F1	L1	R2	7.62E+06	0.96	7.02
LLC-A9F1	L2	R1	3.64E+05	0.63	9.92
LLC-A9F1	L2	R2	4.22E+05	0.64	10.47
LLC-A9F1	L3	R1	3.64E+05	0.51	9.63
LLC-A9F1	L3	R2	2.70E+05	0.53	9.26
LLC-A9F1	L4	R1	8.21E+05	0.59	11.56
LLC-A9F1	L4	R2	5.57E+05	0.43	11.44
LLC-A9F1	L5	R1	4.52E+05	0.56	10.99
LLC-A9F1	L5	R2	5.34E+05	0.67	11.87
LLC-A9F1	L6	R1	3.17E+05	0.66	9.98
LLC-A9F1	L6	R2	2.35E+05	0.52	11.85
LLC-A9F1	L7	R1	5.22E+05	0.13	9.21
LLC-A9F1	L7	R2	4.055	0.09	9.31
LLC-A9F1	L8	R1	1.06E+07	0.92	7.21
LLC-A9F1	L8	R2	1.14E+07	0.93	7.73
MC38-B	M1	R1	9.38E+05	0.66	10.64
MC38-B	M1	R2	9.27E+05	0.63	10.21
MC38-B	M2	R1	3.81E+05	0.39	9.37
MC38-B	M2	R2	3.28E+05	0.31	8.64
MC38-B	M3	R1	1.64E+05	0.5	8.75
MC38-B	M3	R2	1.47E+05	0.38	8.92
MC38-B	M4	R1	5.69E+05	0.44	10.04
MC38-B	M4	R2	4.75E+05	0.39	10.22
MC38-B	M5	R1	7.39E+05	0.61	10.19
MC38-B	M5	R2	7.92E+05	0.61	9.41
MC38-B	M6	R1	6.80E+05	0.22	9.64
MC38-B	M6	R2	7.98E+05	0.23	9.36
MC38-B	M7	R1	9.21E+05	0.7	10.5
MC38-B	M7	R2	1.03E+06	0.78	10.62
MC38-B	M8	R1	1.12E+06	0.73	10.73
MC38-B	M8	R2	1.21E+06	0.68	10.44
