Mouse	Cell line	Trial	Day	Length	Width	Area
MKS088-A-2	MC38-B	Trial 1	0	0	0	0
MKS088-A-2	MC38-B	Trial 1	4	0	0	0
MKS088-A-2	MC38-B	Trial 1	5	0	0	0
MKS088-A-2	MC38-B	Trial 1	8	4.3	3.46	14.88
MKS088-A-2	MC38-B	Trial 1	11	4.72	3.77	17.79
MKS088-A-2	MC38-B	Trial 1	13	3.6	3.6	12.96
MKS088-A-2	MC38-B	Trial 1	15	4.78	3.6	17.21
MKS088-A-2	MC38-B	Trial 1	18	3.88	3.58	13.89
MKS088-A-2	MC38-B	Trial 1	20	3.53	3.53	12.46
MKS088-A-2	MC38-B	Trial 1	22	0	0	0
MKS088-A-2	MC38-B	Trial 1	25	0	0	0
MKS088-A-2	MC38-B	Trial 1	27	0	0	0
MKS088-A-3	MC38-B	Trial 1	0	0	0	0
MKS088-A-3	MC38-B	Trial 1	4	0	0	0
MKS088-A-3	MC38-B	Trial 1	5	0	0	0
MKS088-A-3	MC38-B	Trial 1	8	2.95	2.8	8.26
MKS088-A-3	MC38-B	Trial 1	11	3.53	3.11	10.98
MKS088-A-3	MC38-B	Trial 1	13	3.91	3.36	39.41
MKS088-A-3	MC38-B	Trial 1	15	3.4	3.4	21.8
MKS088-A-3	MC38-B	Trial 1	18	7.88	4.41	34.75
MKS088-A-3	MC38-B	Trial 1	20	9.26	5.17	47.87
MKS088-A-3	MC38-B	Trial 1	22	10.33	5.9	60.95
MKS088-A-3	MC38-B	Trial 1	25	12.75	7.64	97.41
MKS088-A-3	MC38-B	Trial 1	27	NA	NA	NA
MKS088-A-4	MC38-B	Trial 1	0	0	0	0
MKS088-A-4	MC38-B	Trial 1	4	0	0	0
MKS088-A-4	MC38-B	Trial 1	5	4.68	3.22	15.07
MKS088-A-4	MC38-B	Trial 1	8	7.28	5.57	40.55
MKS088-A-4	MC38-B	Trial 1	11	9.69	7.51	72.77
MKS088-A-4	MC38-B	Trial 1	13	11.78	9.64	113.56
MKS088-A-4	MC38-B	Trial 1	15	NA	NA	NA
MKS088-A-4	MC38-B	Trial 1	18	NA	NA	NA
MKS088-A-4	MC38-B	Trial 1	20	NA	NA	NA
MKS088-A-4	MC38-B	Trial 1	22	NA	NA	NA
MKS088-A-4	MC38-B	Trial 1	25	NA	NA	NA
MKS088-A-4	MC38-B	Trial 1	27	NA	NA	NA
MKS088-B-1	MC38-B	Trial 2	0	0	0	0
MKS088-B-2	MC38-B	Trial 2	0	0	0	0
MKS088-B-3	MC38-B	Trial 2	0	0	0	0
MKS088-B-4	MC38-B	Trial 2	0	0	0	0
MKS088-B-5	MC38-B	Trial 2	0	0	0	0
MKS088-C-1	MC38-B	Trial 2	0	0	0	0
MKS088-C-2	MC38-B	Trial 2	0	0	0	0
MKS088-C-3	MC38-B	Trial 2	0	0	0	0
MKS088-C-4	MC38-B	Trial 2	0	0	0	0
MKS088-C-5	MC38-B	Trial 2	0	0	0	0
MKS088-B-1	MC38-B	Trial 2	6	4.92	4.35	21.4
MKS088-B-2	MC38-B	Trial 2	6	4.6	3.17	14.58
MKS088-B-3	MC38-B	Trial 2	6	6.34	3.62	22.95
MKS088-B-4	MC38-B	Trial 2	6	3.17	3.17	10.05
MKS088-B-5	MC38-B	Trial 2	6	7.05	4.55	32.08
MKS088-C-1	MC38-B	Trial 2	6	4.4	4.23	18.61
MKS088-C-2	MC38-B	Trial 2	6	5.51	3.11	17.14
MKS088-C-3	MC38-B	Trial 2	6	6.56	3.4	22.3
MKS088-C-4	MC38-B	Trial 2	6	4	2.61	10.44
MKS088-C-5	MC38-B	Trial 2	6	0	0	0
MKS088-B-1	MC38-B	Trial 2	10	5.38	4.99	26.85
MKS088-B-2	MC38-B	Trial 2	10	6.41	3.73	23.91
MKS088-B-3	MC38-B	Trial 2	10	6.94	4.17	28.94
MKS088-B-4	MC38-B	Trial 2	10	4.42	3.67	16.22
MKS088-B-5	MC38-B	Trial 2	10	8.08	4.18	33.77
MKS088-C-1	MC38-B	Trial 2	10	5.74	3.23	18.54
MKS088-C-2	MC38-B	Trial 2	10	7.36	3.05	22.45
MKS088-C-3	MC38-B	Trial 2	10	4.03	3.26	13.14
MKS088-C-4	MC38-B	Trial 2	10	3.96	2.85	11.29
MKS088-C-5	MC38-B	Trial 2	10	6.51	4.27	27.8
MKS088-B-1	MC38-B	Trial 2	13	10.44	6.75	70.47
MKS088-B-2	MC38-B	Trial 2	13	7.84	5.17	40.53
MKS088-B-3	MC38-B	Trial 2	13	7.5	5.14	38.55
MKS088-B-4	MC38-B	Trial 2	13	5.14	4.84	24.88
MKS088-B-5	MC38-B	Trial 2	13	9.24	5.61	51.84
MKS088-C-1	MC38-B	Trial 2	13	5.81	2.95	17.14
MKS088-C-2	MC38-B	Trial 2	13	7.15	3.46	24.74
MKS088-C-3	MC38-B	Trial 2	13	5.42	4.2	22.76
MKS088-C-4	MC38-B	Trial 2	13	3.88	3.41	13.23
MKS088-C-5	MC38-B	Trial 2	13	8.03	5.99	48.1
MKS088-B-1	MC38-B	Trial 2	15	11.71	8.39	98.25
MKS088-B-2	MC38-B	Trial 2	15	8.71	6.86	59.75
MKS088-B-3	MC38-B	Trial 2	15	8.55	6.29	53.78
MKS088-B-4	MC38-B	Trial 2	15	7.13	6.37	45.42
MKS088-B-5	MC38-B	Trial 2	15	10.88	6.86	74.64
MKS088-C-1	MC38-B	Trial 2	15	6.55	3.79	24.82
MKS088-C-2	MC38-B	Trial 2	15	6.86	4.07	27.92
MKS088-C-3	MC38-B	Trial 2	15	7.96	5.41	43.06
